"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "PostCSS", "TypeScript JSX", "TOML", "MS SQL", "HTML", "Rust", "YAML", "WebAssembly Text Format", "comment", "blank", "total"
"d:\limerence\pi-web\src\controllers\lorebook.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 12, 88
"d:\limerence\pi-web\src\controllers\message-actions.ts", "TypeScript", 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 43, 311
"d:\limerence\pi-web\src\controllers\presets.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 83
"d:\limerence\pi-web\src\controllers\prompt-presets.ts", "TypeScript", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 162
"d:\limerence\pi-web\src\controllers\regex-io.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 84
"d:\limerence\pi-web\src\controllers\regex-rules.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 76
"d:\limerence\pi-web\src\controllers\session-io.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 107
"d:\limerence\pi-web\src\controllers\session.test.ts", "TypeScript", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36, 209
"d:\limerence\pi-web\src\controllers\session.ts", "TypeScript", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 34, 183
"d:\limerence\pi-web\src\controllers\slash-commands.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 50
"d:\limerence\pi-web\src\controllers\workspace.test.ts", "TypeScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25, 155
"d:\limerence\pi-web\src\controllers\workspace.ts", "TypeScript", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26, 157
"d:\limerence\pi-web\src\legacy-intro\components\FourierHeart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 28, 20, 201
"d:\limerence\pi-web\src\legacy-intro\components\ParticleLenia.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 40, 44, 291
"d:\limerence\pi-web\src\legacy-intro\components\landing\LandingArchitecture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 16, 264
"d:\limerence\pi-web\src\legacy-intro\components\landing\LandingFeatures.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 6, 64
"d:\limerence\pi-web\src\legacy-intro\components\landing\LandingFooter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"d:\limerence\pi-web\src\legacy-intro\components\landing\LandingHero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 6, 87
"d:\limerence\pi-web\src\legacy-intro\components\landing\LandingMemoryShowcase.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 5, 11, 174
"d:\limerence\pi-web\src\legacy-intro\components\landing\LandingNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 9, 130
"d:\limerence\pi-web\src\legacy-intro\components\landing\landing-data.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"d:\limerence\pi-web\src\legacy-intro\hooks\useI18n.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\limerence\pi-web\src\legacy-intro\hooks\useTheme.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\limerence\pi-web\src\legacy-intro\index.css", "PostCSS", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 3, 8, 93
"d:\limerence\pi-web\src\legacy-intro\mount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"d:\limerence\pi-web\src\legacy-intro\pages\Landing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\limerence\pi-web\src\lib\auth.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 74
"d:\limerence\pi-web\src\lib\character.ts", "TypeScript", 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 39, 254
"d:\limerence\pi-web\src\lib\i18n.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 71
"d:\limerence\pi-web\src\lib\i18n\en.ts", "TypeScript", 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 335
"d:\limerence\pi-web\src\lib\i18n\zh.ts", "TypeScript", 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 335
"d:\limerence\pi-web\src\lib\memory-db.ts", "TypeScript", 0, 0, 0, 551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 91, 724
"d:\limerence\pi-web\src\lib\memory-embedding.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 87
"d:\limerence\pi-web\src\lib\memory.test.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"d:\limerence\pi-web\src\lib\memory.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 155
"d:\limerence\pi-web\src\lib\mini-lit-zh.ts", "TypeScript", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 19, 223
"d:\limerence\pi-web\src\lib\storage.test.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\limerence\pi-web\src\lib\storage.ts", "TypeScript", 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47, 259
"d:\limerence\pi-web\src\lib\supabase.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 67
"d:\limerence\pi-web\src\lib\sync-engine.ts", "TypeScript", 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 28, 310
"d:\limerence\pi-web\src\lib\sync-realtime.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 68
"d:\limerence\pi-web\src\lib\sync-tables.ts", "TypeScript", 0, 0, 0, 431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 69, 517
"d:\limerence\pi-web\src\lib\tokenizer.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 11, 62
"d:\limerence\pi-web\src\lib\tools.ts", "TypeScript", 0, 0, 0, 374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 63, 455
"d:\limerence\pi-web\src\main.ts", "TypeScript", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 28, 145
"d:\limerence\pi-web\src\renderers\memory-renderers.ts", "TypeScript", 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37, 267
"d:\limerence\pi-web\src\shims\env-api-keys.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\limerence\pi-web\src\shims\lmstudio-sdk.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 77
"d:\limerence\pi-web\src\shims\pi-ai-browser.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 101
"d:\limerence\pi-web\src\shims\pi-web-ui-app.css", "PostCSS", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 5, 26, 185
"d:\limerence\pi-web\src\styles\dialogs.css", "PostCSS", 0, 0, 0, 0, 0, 837, 0, 0, 0, 0, 0, 0, 0, 29, 152, 1018
"d:\limerence\pi-web\src\styles\layout.css", "PostCSS", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 6, 13, 72
"d:\limerence\pi-web\src\styles\message-actions.css", "PostCSS", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 8, 28, 176
